company_name,company_url,industry,rating,reviews,headquarter,other_locations_count,highly_rated_for,critically_rated_for,salaries,interviews,jobs,benefits,photos
Amazon Development Centre India,https://www.ambitionbox.com/overview/amazon-development-centre-india-pvt-ltd-overview,Internet,3.8,7700.0,Hyderabad,148,"Company Culture, Work Life Balance",,39500.0,920,21,614,13
Hindustan Unilever,https://www.ambitionbox.com/overview/hindustan-unilever-overview,FMCG,4.1,7600.0,Mumbai,564,"Skill Development, Company Culture, Work Life Balance",,21000.0,493,25,722,6
Megha Engineering & Infrastructures,https://www.ambitionbox.com/overview/megha-engineering-and-infrastructure-overview,Engineering & Construction,3.9,7500.0,Hyderabad,427,"Work Life Balance, Job Security",,19700.0,619,27,579,48
L&T Construction,https://www.ambitionbox.com/overview/l-and-t-construction-overview,Engineering & Construction,4.0,7500.0,Chennai,444,"Job Security, Skill Development, Salary",,19400.0,967,--,931,42
Tata Projects,https://www.ambitionbox.com/overview/tata-projects-overview,Engineering & Construction,4.2,7300.0,Mumbai,297,"Salary, Company Culture, Work Life Balance",,22900.0,660,63,606,64
Cholamandalam Investment & Finance,https://www.ambitionbox.com/overview/cholamandalam-investment-and-finance-overview,Financial Services,3.9,7400.0,Chennai,905,Salary,,13400.0,317,130,334,43
Bajaj Life Insurance,https://www.ambitionbox.com/overview/bajaj-life-overview,Insurance,3.8,7200.0,Pune,639,Salary,,18100.0,468,90,518,18
L&T Technology Services,https://www.ambitionbox.com/overview/l-and-t-technology-services-overview,IT Services & Consulting,3.1,7100.0,Bengaluru,101,,"Promotions, Salary, Work Satisfaction",46100.0,667,1,525,11
JLL,https://www.ambitionbox.com/overview/jll-overview,Real Estate,4.1,6900.0,Gurugram,93,"Company Culture, Work Life Balance, Job Security",,26400.0,517,546,592,24
Oracle,https://www.ambitionbox.com/overview/oracle-overview,Software Product,3.2,6900.0,Bengaluru,61,,"Promotions, Salary, Job Security",65700.0,979,21,671,39
Omega Healthcare,https://www.ambitionbox.com/overview/omega-healthcare-overview,BPO,3.7,6900.0,Chennai,74,,"Promotions, Salary",28700.0,585,140,425,32
FIS,https://www.ambitionbox.com/overview/fis-overview,FinTech,3.7,6900.0,Pune,64,Work Life Balance,,38700.0,556,151,753,17
Muthoot Finance,https://www.ambitionbox.com/overview/muthoot-finance-overview,NBFC,3.7,6900.0,Bengaluru,835,Job Security,,13500.0,393,128,366,18
eClerx,https://www.ambitionbox.com/overview/eclerx-overview,IT Services & Consulting,3.0,6800.0,Pune,35,,"Promotions, Salary, Work Satisfaction",34000.0,670,496,586,26
DMart,https://www.ambitionbox.com/overview/dmart-overview,Retail,3.9,6800.0,Mumbai,261,"Job Security, Company Culture",,19900.0,593,238,509,18
IIFL Finance,https://www.ambitionbox.com/overview/iifl-finance-overview,NBFC,4.0,6700.0,Mumbai,851,"Work Life Balance, Company Culture, Skill Development",,14100.0,347,217,412,23
PolicyBazaar,https://www.ambitionbox.com/overview/policybazaar-overview,Internet,3.7,6700.0,Gurugram,173,Salary,,19300.0,686,1.5k,315,52
Indian Army,https://www.ambitionbox.com/overview/indian-army-overview,Defence & Aerospace,4.7,6600.0,New,Delhi,"Job Security, Company Culture, Work Life Balance",,9600.0,220,--,764,16
Indiamart Intermesh,https://www.ambitionbox.com/overview/indiamart-intermesh-overview,Internet,3.6,6600.0,Noida,169,,"Work Satisfaction, Promotions, Company Culture",21700.0,837,236,540,27
Piramal Finance,https://www.ambitionbox.com/overview/piramal-finance-overview,NBFC,4.2,6500.0,Mumbai,446,"Company Culture, Work Life Balance, Skill Development",,13000.0,312,102,465,84
TCS,https://www.ambitionbox.com/overview/tcs-overview,IT Services & Consulting,3.2,120000.0,Bengaluru,485,,"Promotions, Salary, Work Satisfaction",1040000.0,11.4k,4.6k,11.1k,100
Accenture,https://www.ambitionbox.com/overview/accenture-overview,IT Services & Consulting,3.7,78100.0,Bengaluru,285,,"Promotions, Salary, Work Satisfaction",720000.0,9.6k,13.8k,7.1k,49
Wipro,https://www.ambitionbox.com/overview/wipro-overview,IT Services & Consulting,3.6,68700.0,Hyderabad,396,,"Promotions, Salary, Work Satisfaction",490000.00000000006,7k,7,5k,123
Cognizant,https://www.ambitionbox.com/overview/cognizant-overview,IT Services & Consulting,3.7,64800.0,Hyderabad,257,,"Promotions, Salary, Work Satisfaction",600000.0,6.6k,716,5.7k,105
Capgemini,https://www.ambitionbox.com/overview/capgemini-overview,IT Services & Consulting,3.6,57000.0,Bengaluru,210,"Work Life Balance, Job Security",,490000.00000000006,5.7k,2k,3.9k,54
HDFC Bank,https://www.ambitionbox.com/overview/hdfc-bank-overview,Banking,3.8,56200.0,Mumbai,1923,Job Security,,150000.0,3.3k,292,3.5k,116
Infosys,https://www.ambitionbox.com/overview/infosys-overview,IT Services & Consulting,3.5,51700.0,Bengaluru,263,Job Security,,530000.0,8.6k,4k,5k,120
HCLTech,https://www.ambitionbox.com/overview/hcl-technologies-overview,IT Services & Consulting,3.4,48900.0,Bengaluru,256,,"Promotions, Salary, Work Satisfaction",400000.0,4.7k,342,4k,74
ICICI Bank,https://www.ambitionbox.com/overview/icici-bank-overview,Banking,3.9,48000.0,Mumbai,1487,"Job Security, Promotions, Skill Development",,160000.0,3.1k,38,3.8k,74
Tech Mahindra,https://www.ambitionbox.com/overview/tech-mahindra-overview,IT Services & Consulting,3.3,45900.0,Hyderabad,340,,"Promotions, Salary, Work Satisfaction",280000.0,4.8k,675,3.6k,91
Genpact,https://www.ambitionbox.com/overview/genpact-overview,Analytics & KPO,3.6,45300.0,Hyderabad,192,Job Security,,240000.0,4.1k,509,3.7k,78
TP,https://www.ambitionbox.com/overview/tp-overview,BPO,3.8,41300.0,Mumbai,275,Job Security,,100000.0,2.3k,1.6k,2k,41
Axis Bank,https://www.ambitionbox.com/overview/axis-bank-overview,Banking,3.6,35600.0,Mumbai,1573,,"Promotions, Work Satisfaction, Company Culture",100000.0,2.1k,263,2.3k,143
Jio,https://www.ambitionbox.com/overview/jio-overview,Telecom,4.4,35000.0,Mumbai,1988,"Job Security, Company Culture, Work Life Balance",,61000.0,4.6k,--,2.6k,98
Concentrix Corporation,https://www.ambitionbox.com/overview/concentrix-corporation-overview,BPO,3.5,34400.0,Bengaluru,204,Job Security,,130000.0,2.1k,64,3.3k,75
Amazon,https://www.ambitionbox.com/overview/amazon-overview,Internet,3.9,33700.0,Bengaluru,554,"Company Culture, Work Life Balance, Salary",,160000.0,6.2k,66,3.5k,106
Reliance Retail,https://www.ambitionbox.com/overview/reliance-retail-overview,Retail,3.9,28900.0,Mumbai,1199,"Job Security, Work Life Balance, Skill Development",,76200.0,2k,71,1.9k,163
iEnergizer,https://www.ambitionbox.com/overview/ienergizer-overview,BPO,4.5,28300.0,Noida,57,"Company Culture, Job Security, Skill Development",,25400.0,1.8k,75,989,33
LTM Limited,https://www.ambitionbox.com/overview/ltm-limited-overview,IT Services & Consulting,3.6,28100.0,Bengaluru,159,,"Promotions, Salary, Work Satisfaction",200000.0,3.5k,524,933,34
HDB Financial Services,https://www.ambitionbox.com/overview/hdb-financial-services-overview,NBFC,3.9,27400.0,Mumbai,1136,Work Life Balance,,48700.0,1.2k,10,1.4k,84
IBM,https://www.ambitionbox.com/overview/ibm-overview,IT Services & Consulting,3.9,27200.0,Bengaluru,177,"Work Life Balance, Company Culture, Job Security",,220000.00000000003,2.7k,436,2.7k,24
Larsen & Toubro Limited,https://www.ambitionbox.com/overview/larsen-and-toubro-limited-overview,Engineering & Construction,3.9,25600.0,Mumbai,818,"Job Security, Skill Development, Salary",,77200.0,2k,257,2.7k,74
Deloitte,https://www.ambitionbox.com/overview/deloitte-overview,Management Consulting,3.6,25200.0,Hyderabad,213,,"Promotions, Work Life Balance, Work Satisfaction",280000.0,3.5k,414,2.6k,19
Kotak Mahindra Bank,https://www.ambitionbox.com/overview/kotak-mahindra-bank-overview,Banking,3.6,23800.0,Mumbai,715,,"Promotions, Work Satisfaction, Company Culture",88100.0,1.5k,133,1.4k,46
Reliance Industries,https://www.ambitionbox.com/overview/reliance-industries-overview,Oil & Gas,4.0,21500.0,Jamnagar,848,"Job Security, Work Life Balance, Skill Development",,75700.0,1.7k,80,2k,41
Vodafone Idea,https://www.ambitionbox.com/overview/vodafone-idea-overview,Telecom,3.9,18300.0,Pune,733,"Salary, Company Culture, Work Life Balance",,48600.0,727,56,2k,23
Bharti Airtel,https://www.ambitionbox.com/overview/bharti-airtel-overview,Telecom,3.8,18100.0,Gurugram,821,,Promotions,50400.0,1.2k,183,1.6k,105
BYJU'S,https://www.ambitionbox.com/overview/byjus-overview,EdTech,3.2,16500.0,Bengaluru,324,,"Job Security, Company Culture, Work Life Balance",49300.0,2.1k,5,1.7k,28
WNS,https://www.ambitionbox.com/overview/wns-overview,IT Services & Consulting,3.3,16300.0,Pune,72,,"Promotions, Salary, Skill Development",70900.0,1.3k,37,1.4k,24
IDFC FIRST Bank,https://www.ambitionbox.com/overview/idfc-first-bank-overview,Banking,4.0,16200.0,Mumbai,761,"Salary, Company Culture, Work Life Balance",,50900.0,1.1k,136,846,30
Ernst & Young,https://www.ambitionbox.com/overview/ernst-young-overview,Management Consulting,3.4,15800.0,Bengaluru,148,,"Promotions, Work Life Balance, Work Satisfaction",150000.0,1.4k,3.7k,1.1k,11
IndusInd Bank,https://www.ambitionbox.com/overview/indusind-bank-overview,Banking,3.4,15200.0,Mumbai,823,,"Promotions, Company Culture, Work Satisfaction",52700.0,804,127,850,17
AU Small Finance Bank,https://www.ambitionbox.com/overview/au-small-finance-bank-overview,Banking,3.8,15200.0,Jaipur,839,,Promotions,31100.0,745,5.6k,644,28
Tata Motors,https://www.ambitionbox.com/overview/tata-motors-overview,Automobile,4.1,15000.0,Pune,526,"Company Culture, Work Life Balance, Job Security",,44300.0,1.4k,45,1.7k,60
Bajaj Finserv,https://www.ambitionbox.com/overview/bajaj-finserv-overview,NBFC,3.9,14600.0,Pune,1275,"Salary, Skill Development, Job Security",,32700.000000000004,845,3,776,25
Flipkart,https://www.ambitionbox.com/overview/flipkart-overview,Internet,3.9,13900.0,Bengaluru,579,"Company Culture, Skill Development, Salary",,57400.0,1.8k,75,1.4k,117
PwC,https://www.ambitionbox.com/overview/pwc-overview,Management Consulting,3.3,13800.0,Bengaluru,151,,"Promotions, Work Life Balance, Work Satisfaction",130000.0,1.7k,1.5k,913,24
Muthoot FinCorp,https://www.ambitionbox.com/overview/muthoot-fincorp-overview,NBFC,4.5,13700.0,Bengaluru,1144,"Company Culture, Work Life Balance, Job Security",,10000.0,2.4k,61,335,108
Mahindra & Mahindra,https://www.ambitionbox.com/overview/mahindra-and-mahindra-overview,Automobile,4.0,12900.0,Pune,586,"Job Security, Skill Development, Company Culture",,41800.0,925,3,1.2k,22
HDFC Life,https://www.ambitionbox.com/overview/hdfc-life-overview,Insurance,3.8,13000.0,Mumbai,744,Skill Development,,34200.0,857,204,675,60
Infosys BPM,https://www.ambitionbox.com/overview/infosys-bpm-overview,BPO,3.5,12800.0,Bengaluru,101,Job Security,,79400.0,1.1k,222,1.2k,15
DXC Technology,https://www.ambitionbox.com/overview/dxc-technology-overview,IT Services & Consulting,3.6,12500.0,Bengaluru,135,Work Life Balance,,73700.0,920,107,1.2k,9
Bandhan Bank,https://www.ambitionbox.com/overview/bandhan-bank-overview,Banking,3.6,12300.0,Kolkata,1069,,"Promotions, Work Satisfaction, Company Culture",27800.0,805,--,608,53
Digitide Solutions,https://www.ambitionbox.com/overview/conneqt-business-solutions-overview,IT Services & Consulting,3.4,11100.0,Hyderabad,292,,"Promotions, Salary, Work Satisfaction",27200.0,605,334,798,49
Yes Bank,https://www.ambitionbox.com/overview/yes-bank-overview,Banking,3.6,10900.0,Mumbai,549,,"Job Security, Promotions, Company Culture",43000.0,588,160,651,19
Mphasis,https://www.ambitionbox.com/overview/mphasis-overview,IT Services & Consulting,3.3,10800.0,Bengaluru,70,,"Promotions, Salary, Work Satisfaction",75300.0,964,55,884,148
Tata Steel,https://www.ambitionbox.com/overview/tata-steel-overview,Iron & Steel,4.0,10600.0,Jamshedpur,238,"Work Life Balance, Job Security, Skill Development",,34900.0,1.1k,--,704,53
Quess,https://www.ambitionbox.com/overview/quess-overview,Recruitment,3.8,10500.0,Bengaluru,786,,"Promotions, Job Security",32100.0,565,5,479,27
UltraTech Cement,https://www.ambitionbox.com/overview/ultratech-cement-overview,Building Material,4.1,10300.0,Mumbai,563,"Job Security, Skill Development, Company Culture",,25500.0,870,92,694,51
